<?xml version="1.0" encoding="UTF-8"?>
<values>
Support	antecedent_support	consequent_support	Confidence	Lift	Conv	CF	NetConf	YulesQ	nAttributes
0.74	0.74	0.95	1.0	1.06	Infinity	1.0	0.21	1.0	2
0.1	0.16	0.18	0.66	3.7	2.38	0.58	0.57	0.9	2
0.06	0.06	0.27	1.0	3.76	Infinity	1.0	0.78	1.0	2
0.44	0.44	0.7	1.0	1.45	Infinity	1.0	0.54	1.0	2
0.03	0.04	0.06	0.74	12.79	3.52	0.72	0.7	0.98	2
0.31	0.31	0.57	1.0	1.76	Infinity	1.0	0.63	1.0	2
0.02	0.02	0.06	1.0	18.27	Infinity	1.0	0.96	1.0	2
0.96	0.96	1.0	1.0	1.01	Infinity	1.0	0.01	0.0	2
0.22	0.22	0.39	1.0	2.63	Infinity	1.0	0.8	1.0	2
0.62	0.62	0.79	1.0	1.28	Infinity	1.0	0.58	1.0	2
0.95	0.95	0.99	1.0	1.02	Infinity	1.0	0.27	1.0	2
0.01	0.01	0.02	0.64	43.07	2.69	0.63	0.63	0.99	3
0.02	0.03	0.02	0.52	34.98	2.03	0.51	0.52	1.0	3
0.22	0.22	0.39	1.0	2.63	Infinity	1.0	0.8	1.0	3
0.17	0.17	0.21	1.0	5.0	Infinity	1.0	0.96	1.0	3
0.06	0.06	0.06	1.0	18.27	Infinity	1.0	1.0	1.0	3
0.19	0.19	0.22	1.0	4.6	Infinity	1.0	0.96	1.0	3
0.62	0.62	0.62	1.0	1.62	Infinity	1.0	1.0	1.0	3
0.27	0.29	0.48	0.95	1.99	10.31	0.91	0.66	0.96	3
0.01	0.01	0.01	0.6	127.84	2.49	0.6	0.6	1.0	3
0.01	0.01	0.01	0.48	101.91	1.91	0.48	0.48	1.0	3
0.08	0.09	0.18	0.89	5.01	7.11	0.86	0.77	0.97	4
0.01	0.01	0.02	0.95	64.0	16.76	0.95	0.94	1.0	4
0.02	0.02	0.02	0.7	47.31	3.24	0.7	0.7	1.0	4
0.02	0.03	0.04	0.6	19.77	2.43	0.59	0.59	0.98	4
0.17	0.17	0.21	1.0	5.0	Infinity	1.0	0.96	1.0	4
0.59	0.59	0.62	1.0	1.62	Infinity	1.0	0.92	1.0	4
0.08	0.09	0.18	0.89	5.01	7.11	0.86	0.77	0.97	4
0.27	0.28	0.48	0.96	1.99	10.51	0.91	0.66	0.96	4
0.01	0.01	0.01	1.0	213.07	Infinity	1.0	1.0	1.0	4
0.01	0.02	0.02	0.7	47.45	3.26	0.7	0.7	1.0	5
0.18	0.18	0.22	1.0	4.6	Infinity	1.0	0.96	1.0	5
0.07	0.07	0.19	1.0	5.48	Infinity	1.0	0.88	1.0	5
0.07	0.07	0.19	1.0	5.48	Infinity	1.0	0.88	1.0	9
</values>
